NAICS  Code,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL
,"Retail sales, total (excl. motor vehicle and parts dealers)",316661.0,316686.0,317915,319436,316677,317809,317823,320520,325552,325433,330545,332902,
,GAFO(1),106705.0,105280.0,105919,106260,104964,106239,105493,106019,106820,106824,107562,107690,
441,Motor vehicle and parts dealers,99420.0,98817.0,96705,97453,97863,98696,98921,96659,100949,101500,100613,100380,
"4411,4412",Automobile and other motor vehicle dealers,91642.0,91140.0,88940,89632,90104,90984,91131,88962,93074,93751,92726,92247,
4413,"Automotive parts, acc., and tire stores",7778.0,7677.0,7765,7821,7759,7712,7790,7697,7875,7749,7887,8133,
"442,443","Furniture, home furn, electronics, and appliance stores",17195.0,17107.0,17400,17285,17251,17242,17108,17198,17158,17512,17775,17758,
442,Furniture and home furnishings stores,9499.0,9498.0,9576,9434,9507,9570,9529,9601,9496,9804,9937,9960,
443,Electronics and appliance stores,7696.0,7609.0,7824,7851,7744,7672,7579,7597,7662,7708,7838,7798,
444,Building mat. and garden equip. and supplies dealers,28685.0,28943.0,28755,29063,28764,28720,28838,28843,29763,29561,29948,30044,
4441,Building mat. and supplies dealers,25383.0,25398.0,25117,25279,25051,25056,25068,25145,26148,25965,26295,26306,
445,Food and beverage stores,59561.0,59832.0,60322,60461,60614,60413,60443,60762,61331,61563,61766,62282,
4451,Grocery stores,53298.0,53608.0,54096,54177,54297,54137,54184,54430,55022,55168,55332,55884,
4453,"Beer, wine and liquor stores",4332.0,4298.0,4316,4374,4386,4377,4371,4399,4408,4482,4477,4453,
446,Health and personal care stores,26160.0,26436.0,26569,26755,26761,26983,27020,27336,27372,27568,27763,27669,
44611,Pharmacies and drug stores,21658.0,21867.0,22066,22212,22337,22571,22417,22661,22858,22972,22998,22969,
447,Gasoline stations,39871.0,40106.0,39779,39539,38057,37633,37545,38765,40820,40940,42005,42720,
448,Clothing and clothing access. stores,22025.0,21654.0,21760,21777,21648,21791,21619,21779,21897,21796,22068,21760,
4481,Clothing stores,16167.0,15887.0,15940,15969,15871,15973,15771,15893,15912,15871,16062,15906,
44811,Men's clothing stores,801.0,784.0,828,770,799,799,776,762,778,752,739,745,
44812,Women's clothing stores,3328.0,3290.0,3263,3336,3250,3326,3304,3238,3209,3218,3260,3257,
4482,Shoe stores,3088.0,3015.0,3076,3073,2993,3022,2976,3040,3046,2986,3030,3005,
44831,Jewelry stores,2558.0,2515.0,2516,2508,2531,2554,2611,2589,2682,2675,2702,2597,
